order,stimuli,audio_name,video_name
1,准备\n翻动手掌,准备翻动手掌.wav,wrist.mp4
2,准备抓握,准备抓握.wav,wrist.mp4
3,准备向内\n勾手腕,准备向内勾手腕.wav,wrist.mp4
4,准备\n抬小臂,准备抬小臂.wav,wrist.mp4
5,准备\n动拇指,准备动拇指.wav,thumb.mp4
6,准备\n动食指,准备动食指.wav,index.mp4
7,准备\n动中指,准备动中指.wav,middle.mp4
