corpus_order,wl_corpus,audio_name
1,你,你.wav
2,我,我.wav
3,他,他.wav
4,点,点.wav
5,了,了.wav
6,吗,吗.wav
8,好,好.wav
9,吃,吃.wav
9,吃,吃.wav
10,你们,你们.wav
11,我们,我们.wav
12,他们,他们.wav
13,开心,开心.wav
14,认识,认识.wav
15,大家,大家.wav
16,感觉,感觉.wav
17,需要,需要.wav
19,中餐,中餐.wav
20,晚餐,晚餐.wav
21,休息,休息.wav
21,运动,运动.wav
22,帮忙,帮忙.wav
23,早上,早上.wav
24,早上,早上.wav
25,晚上,晚上.wav
