decode_id,participant,session,action_start_time_s,action_end_time_s,time_in_action_s,data_received_time_s,data_shape,preprocess_time_ms,decode_time_ms,decode_result,confidence,command_sent,command_content
1,121958,001,35.008454,45.015127,0.236729,35.008454,"(128, 10000)",29.794,77.05,0,0.9999982270879851,0,
2,121958,001,35.008454,45.015127,0.350195,35.245183,"(128, 10000)",33.469,76.894,0,0.999997571126875,0,
3,121958,001,35.008454,45.015127,0.466935,35.358648,"(128, 10000)",30.232,76.086,0,0.9999973140528851,0,
4,121958,001,35.008454,45.015127,0.583342,35.475389,"(128, 10000)",31.9,76.776,0,0.9999983249903347,0,
5,121958,001,35.008454,45.015127,0.69958,35.591796,"(128, 10000)",29.752,79.036,0,0.999998998390964,0,
6,121958,001,35.008454,45.015127,0.816657,35.708034,"(128, 10000)",30.001,76.001,0,0.9999986441635449,0,
