order,stimuli,audio_name
1,准备左右\n摇动脚掌,准备左右摇动脚掌.wav
2,准备前后\n摇动脚掌,准备前后摇动脚掌.wav
3,准备向上\n轻抬小腿,准备向上轻抬小腿.wav
